2023-07-20 13:45:28.943 [error] Error: EEXIST: file already exists, open '/home/user/.vscode/data/User/workspaceStorage/bcad1d/vscode.lock'
2023-07-20 13:45:31.329 [error] No bundle location found for extension SAPSE.vscode-wing-java-run
2023-07-20 13:45:31.652 [error] No bundle location found for extension SAP.vscode-wing-cf-tools
2023-07-20 13:45:31.652 [error] No bundle location found for extension vscode.emmet
2023-07-20 13:45:31.652 [error] No bundle location found for extension SAPSE.vscode-cds
2023-07-20 13:45:31.652 [error] No bundle location found for extension SAPOSS.code-snippet
2023-07-20 13:45:31.902 [error] No bundle location found for extension SAP.vscode-watt-framework-extension
2023-07-20 13:45:31.902 [error] No bundle location found for extension vscode.git-base
2023-07-20 13:45:31.902 [error] No bundle location found for extension SAPOSS.app-studio-toolkit
2023-07-20 13:45:31.902 [error] No bundle location found for extension SAPSE.fs-usage-popup-vscode-extensions
2023-07-20 13:45:31.902 [error] No bundle location found for extension SAPOSS.app-studio-toolkit-themes
2023-07-20 13:45:31.902 [error] No bundle location found for extension donjayamanne.githistory
2023-07-20 13:45:31.902 [error] No bundle location found for extension eamodio.gitlens
2023-07-20 13:45:31.902 [error] No bundle location found for extension SAPSE.sap-ux-service-modeler-extension
2023-07-20 13:45:31.902 [error] No bundle location found for extension SAPSE.sap-ux-application-modeler-extension
2023-07-20 13:45:31.902 [error] No bundle location found for extension mtxr.sqltools
2023-07-20 13:45:31.902 [error] No bundle location found for extension SAPSE.sap-ux-help-extension
2023-07-20 13:45:31.902 [error] No bundle location found for extension SAP.vscode-bas-extension
2023-07-20 13:45:35.232 [error] No bundle location found for extension SAPOSS.vscode-dependencies-validation
2023-07-20 13:45:35.232 [error] No bundle location found for extension SAPOSS.vscode-deps-upgrade-tool
2023-07-20 13:45:35.232 [error] No bundle location found for extension SAPSE.vscode-node-version-check
2023-07-20 13:45:35.480 [error] No bundle location found for extension SAPSE.vscode-tasks-explorer-tasks-panel
2023-07-20 13:45:35.544 [error] No bundle location found for extension SAPOSS.vscode-ui5-language-assistant
2023-07-20 13:45:35.925 [error] No bundle location found for extension SAP.vscode-wing-run-config
2023-07-20 13:45:36.023 [error] No bundle location found for extension SAPSE.vscode-wing-cds-editor-bas
2023-07-20 13:45:36.281 [error] No bundle location found for extension SAPSE.vscode-wing-expose-router-ports
2023-07-20 13:45:36.400 [error] No bundle location found for extension SAP.vscode-wing-gerrit
2023-07-20 13:45:36.456 [error] No bundle location found for extension vscode.npm
2023-07-20 13:45:36.637 [error] No bundle location found for extension SAPSE.webide-hdi-base-feature-vscode
2023-07-20 13:45:36.637 [error] No bundle location found for extension SAP.mta-editor-vscode
2023-07-20 13:45:36.637 [error] No bundle location found for extension sap.process-template-editor-vscode
2023-07-20 13:45:36.637 [error] No bundle location found for extension SAP.sap-bas-vscode-w5g
2023-07-20 13:45:36.637 [error] No bundle location found for extension SAP.vscode-bas-extensibility
2023-07-20 13:45:36.637 [error] No bundle location found for extension sap.workflow-editor-vscode
2023-07-20 13:45:36.637 [error] No bundle location found for extension SAPSE.webide-hdi-feature-vscode
2023-07-20 13:45:36.637 [error] No bundle location found for extension vscode.git
2023-07-20 13:45:36.637 [error] No bundle location found for extension SAPOS.yeoman-ui
2023-07-20 13:45:36.637 [error] No bundle location found for extension SAPOSS.guided-development
2023-07-20 13:45:37.640 [error] No bundle location found for extension SAPSE.lcap-task-contrib
2023-07-20 13:45:37.640 [error] No bundle location found for extension SAPSE.vscode-wing-storyboard
2023-07-20 13:45:37.640 [error] No bundle location found for extension SAP.vscode-wing-welcome-screen
2023-07-20 13:45:37.640 [error] No bundle location found for extension SAPSE.vscode-bas-fiori-tools
2023-07-20 13:45:37.640 [error] No bundle location found for extension SAPSE.vscode-wing-cap-guided-development
2023-07-20 13:45:37.640 [error] No bundle location found for extension mtxr.sqltools-driver-sqlite
2023-07-20 13:45:38.515 [error] No bundle location found for extension SAP.hana-runtime-tools
2023-07-20 13:45:38.521 [error] No bundle location found for extension SAPSE.hana-project-explorer
2023-07-20 13:45:38.931 [error] No bundle location found for extension humao.rest-client
2023-07-20 13:45:39.196 [error] No bundle location found for extension SAPSE.cicd-extension
2023-07-20 13:45:39.239 [error] No bundle location found for extension SAP.adp-ve-bas-ext
2023-07-20 13:45:39.239 [error] No bundle location found for extension sap.workflow-form-editor-vscode
2023-07-20 13:45:39.443 [error] No bundle location found for extension SAPSE.vscode-mta-tools
2023-07-20 13:45:39.652 [error] No bundle location found for extension SAP.hana-eim-sdi
2023-07-20 13:45:40.914 [error] No bundle location found for extension SAPSE.vscode-wing-cap-run
2023-07-20 13:45:41.090 [error] No bundle location found for extension vscode.merge-conflict
2023-07-20 13:45:41.122 [error] No bundle location found for extension vscode.debug-auto-launch
2023-07-20 13:45:41.122 [error] No bundle location found for extension SAPSE.hana-database-explorer
2023-07-20 13:46:21.433 [error] Error: ENOENT: no such file or directory, stat '/home/user/projects/HC_OFFICE_SUPLLIES/gen'
2023-07-20 13:48:11.393 [error] No bundle location found for extension vscode.simple-browser
